Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9327,1919 November 22,15:14:12,21,-991,141,A,0.4549,0.9198,6.9N,48.9W,63,186,341,11m37s,1919-11-22 15:14:12,1919-11-22T15:14:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",239.937,-0.39816,240.387,-0.0116083
9328,1920 May 18,06:14:55,21,-985,146,P,-1.0239,0.9734,69.1S,107.7E,0,339,,,1920-05-18 06:14:55,1920-05-18T06:14:55.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",58.5404,-1.78137,58.0943,0.00739878
9329,1920 November 10,15:52:15,22,-979,151,P,1.1287,0.742,69.9N,29.8W,0,211,,,1920-11-10 15:52:15,1920-11-10T15:52:15.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",228.545,0.206713,229.063,-0.0104993
9330,1921 April 8,09:15:01,22,-974,118,A,0.8869,0.9753,64.5N,5.6E,27,139,192,01m50s,1921-04-08 09:15:01,1921-04-08T09:15:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",19.269,0.170277,19.0899,0.00237033
9331,1921 October 1,12:35:58,22,-968,123,T,-0.9383,1.0293,66.1S,56.1W,20,48,291,01m52s,1921-10-01 12:35:58,1921-10-01T12:35:58.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",189.002,-1.73697,188.873,-0.00413946
9332,1922 March 28,13:05:26,23,-962,128,A,0.1711,0.9381,12.3N,18.0W,80,162,233,07m50s,1922-03-28 13:05:26,1922-03-28T13:05:26.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",7.66277,-0.286348,8.1519,0.00105975
9333,1922 September 21,04:40:31,23,-956,133,T,-0.213,1.0678,10.7S,104.5E,78,18,226,05m59s,1922-09-21 04:40:31,1922-09-21T04:40:31.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",179.461,-0.583954,178.488,-0.00131345
9334,1923 March 17,12:44:58,23,-950,138,A,-0.5438,0.9309999999999999,33.0S,2.4E,57,339,305,07m51s,1923-03-17 12:44:58,1923-03-17T12:44:58.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",356.463,-1.00127,356.978,-0.000882075
9335,1923 September 10,20:47:29,23,-944,143,T,0.5149,1.043,34.7N,121.8W,59,201,167,03m37s,1923-09-10 20:47:29,1923-09-10T20:47:29.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",168.025,-0.333733,168.163,-0.000809584
9336,1924 March 5,15:44:20,24,-938,148,P,-1.2232,0.5819,71.9S,55.6E,0,250,,,1924-03-05 15:44:20,1924-03-05T15:44:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",344.934,-1.54626,345.869,-0.00251956
9337,1924 July 31,19:58:20,24,-933,115,P,-1.4459,0.192,69.6S,146.0W,0,27,,,1924-07-31 19:58:20,1924-07-31T19:58:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",129.173,-2.15943,129.337,0.00473386
9338,1924 August 30,08:23:00,24,-932,153,P,1.3123,0.4245,71.5N,172.9E,0,300,,,1924-08-30 08:23:00,1924-08-30T08:23:00.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",158.246,0.883676,157.717,0.00207461
9339,1925 January 24,14:54:03,24,-927,120,T,0.8661,1.0304,40.5N,49.6W,30,170,206,02m32s,1925-01-24 14:54:03,1925-01-24T14:54:03.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",304.523,0.208356,305.181,-0.00894729
9340,1925 July 20,21:48:42,24,-921,125,A,-0.7193,0.9436,25.3S,150.0W,44,6,300,07m15s,1925-07-20 21:48:42,1925-07-20T21:48:42.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",118.637,-1.45403,118.654,0.00590507
9341,1926 January 14,06:36:58,24,-915,130,T,0.1973,1.043,10.1S,82.3E,79,176,147,04m11s,1926-01-14 06:36:58,1926-01-14T06:36:58.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",294.965,-0.662374,294.389,-0.0105133
9342,1926 July 9,23:06:02,24,-909,135,A,0.0538,0.968,25.6N,165.1W,87,181,115,03m51s,1926-07-09 23:06:02,1926-07-09T23:06:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",108.044,-0.775387,107.974,0.00664594
9343,1927 January 3,20:22:53,24,-903,140,A,-0.4956,0.9995,52.8S,124.8W,60,0,2,00m03s,1927-01-03 20:22:53,1927-01-03T20:22:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",282.939,-0.867021,283.497,-0.0101614
9344,1927 June 29,06:23:27,24,-897,145,T,0.8163,1.0128,78.1N,73.8E,35,167,77,00m50s,1927-06-29 06:23:27,1927-06-29T06:23:27.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",98.1523,0.287391,97.535,0.00807778
9345,1927 December 24,03:59:41,24,-891,150,P,-1.2416,0.5489999999999999,66.1S,47.7W,0,169,,,1927-12-24 03:59:41,1927-12-24T03:59:41.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",272.865,-1.65734,272.354,-0.0106524
9346,1928 May 19,13:24:20,24,-886,117,T-,-1.0048,1.014,63.3S,22.5E,0,319,-,-,1928-05-19 13:24:20,1928-05-19T13:24:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",58.8989,-1.39487,59.2974,0.00743711
9347,1928 June 17,20:27:28,24,-885,155,Pb,1.5107,0.0375,65.6N,70.6E,0,16,,,1928-06-17 20:27:28,1928-06-17T20:27:28.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",86.7137,0.676475,87.3533,0.0073383
9348,1928 November 12,09:48:24,24,-880,122,P,1.0861,0.8078,62.6N,81.1E,0,229,,,1928-11-12 09:48:24,1928-11-12T09:48:24.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",231.272,0.260522,230.772,-0.00939711
9349,1929 May 9,06:10:34,24,-874,127,T,-0.2887,1.0562,1.6N,92.7E,73,339,193,05m07s,1929-05-09 06:10:34,1929-05-09T06:10:34.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",49.6425,-1.07173,49.1132,0.00542761
9350,1929 November 1,12:05:10,24,-868,132,A,0.3514,0.9649,4.5N,3.1E,69,204,134,03m54s,1929-11-01 12:05:10,1929-11-01T12:05:10.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",219.678,-0.497244,219.571,-0.00847052
9351,1930 April 28,19:03:34,24,-862,137,H,0.473,1.0003,39.4N,121.2W,62,149,1,00m01s,1930-04-28 19:03:34,1930-04-28T19:03:34.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",37.8758,-0.0356718,38.7193,0.00512141
9352,1930 October 21,21:43:53,24,-856,142,T,-0.3804,1.023,30.5S,161.1W,67,31,84,01m55s,1930-10-21 21:43:53,1930-10-21T21:43:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",208.694,-0.964341,208.736,-0.00662842
9353,1931 April 18,00:45:35,24,-850,147,P,1.2643,0.5107,61.5N,58.9E,0,68,,,1931-04-18 00:45:35,1931-04-18T00:45:35.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",27.8579,0.370113,27.9897,0.00290637
9354,1931 September 12,04:41:25,24,-845,114,Pe,1.506,0.0471,61.2N,152.8W,0,280,,,1931-09-12 04:41:25,1931-09-12T04:41:25.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",170.508,1.15,169.413,-8.45494e-05
9355,1931 October 11,12:55:40,24,-844,152,P,-1.0607,0.9005,61.2S,119.5W,0,104,,,1931-10-11 12:55:40,1931-10-11T12:55:40.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",198.069,-1.9573,198.194,-0.00581974
9356,1932 March 7,07:55:50,24,-839,119,A,-0.9673,0.9277,60.7S,134.4E,14,285,1083,05m19s,1932-03-07 07:55:50,1932-03-07T07:55:50.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",347.798,-1.70254,347.492,-0.00353268
9357,1932 August 31,20:03:41,24,-833,124,T,0.8307,1.0257,54.5N,79.5W,34,232,155,01m45s,1932-08-31 20:03:41,1932-08-31T20:03:41.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",158.992,-0.0748953,159.107,0.000440762
9358,1933 February 24,12:46:39,24,-827,129,A,-0.2191,0.9841,20.8S,2.1W,77,331,58,01m32s,1933-02-24 12:46:39,1933-02-24T12:46:39.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",335.928,-0.844122,336.404,-0.00447899
9359,1933 August 21,05:49:11,24,-821,134,A,0.0869,0.9801,16.9N,95.9E,85,206,71,02m04s,1933-08-21 05:49:11,1933-08-21T05:49:11.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",149.475,-0.268638,148.631,0.0030308
